,Variant,Make_Month,No_of_Owners,Color,Type_of_Car,Transmission,Insurance_Type,Condition,Registration_Place,Power_steering,Cruise_Control,Navigation_System,Adjustable_Steering,Automatic_Boot,Air_Conditioning,Power_Windows,Sunroof,Fog_Lamps,Alloy_Wheels,Adjustable_External_Mirror,Display_Screen,Bluetooth,AMFM_adio,USB_Compatibility,Aux_Compatibility,ABS,Anti_Theft_Device,Rear_Parking_Camera,Parking_Sensors,Lock_System,Number_of_Airbags,Flood_Affected,Accidental,Registration_Transfer,Insurance,Finance,Exchange,Brand,Model,Year,Fuel,KM_driven,Price
367,WagonR1.0LXiCNG,July,First,Grey,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2012,Petrol,"65,914 km",265000
368,SwiftDzireVDiBS-IV,January,First,Silver,Sedans,Manual,NoInsurance,Used,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,,,Power,,,,Yes,Yes,,,,,RemoteControlledCentral,,No,Yes,Yes,,Yes,Yes,Maruti Suzuki,Swift Dzire,2017,Diesel,"57,000 km",693999
369,WagonRLXiBS-III,June,First,White,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Wagon R,2017,CNG & Hybrids,"69,200 km",449000
370,WagonRDuoLXiLPG,January,Second,Blue,Hatchback,Manual,,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Wagon R,2008,LPG,"82,000 km",125000
371,WagonR1.0LXiCNG,August,First,Grey,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,Yes,,WithHeater,Front,,,,,,,,Yes,Yes,,,,,Central,,No,No,Yes,Yes,,,Maruti Suzuki,Wagon R 1.0,2010,CNG & Hybrids,"67,000 km",215000
372,ErtigaVxi,April,Second,White,MUV,Manual,NoInsurance,Used,MH,Yes,,,,,,,,,,,,Yes,,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015,Petrol,"55,000 km",542000
373,SwiftLXi,December,First,Red,Hatchback,Manual,ThirdParty,Used,MH,Yes,,,Yes,,AutomaticClimateControl,Front,,Yes,,,,,,,Yes,,,,,,,No,No,Yes,Yes,,Yes,Maruti Suzuki,Swift,2007,Petrol,"26,379 km",185000
374,SwiftDzireVDI,March,First,Grey,Hatchback,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2016,Diesel,"68,000 km",670000
375,SwiftDzireVXi1.2BS-IV,March,First,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2010,Petrol,"56,951 km",265000
376,SwiftDzireZDI,October,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Manual,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2014,Diesel,"56,000 km",545000
377,SwiftVDiBS-IV,August,Second,Grey,Hatchback,Manual,ThirdParty,Used,UP,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,,,,,Central,,,,Yes,Yes,,Yes,Maruti Suzuki,Swift,2013,Diesel,"72,000 km",335000
378,SwiftDzireVXi1.2BS-IV,December,First,White,Sedans,Manual,NoInsurance,Used,MH,,,,,,WithHeater,Front&rear,,Yes,Yes,,,,,Yes,Yes,,,,Yes,RemoteControlledCentral,None,,,,,Yes,,Maruti Suzuki,Swift Dzire,2015,Petrol,"65,000 km",505000
379,ErtigaVxiCNG,January,First,Silver,SUV,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2014,CNG & Hybrids,"126,677 km",495000
380,SwiftLDi,May,Second,Red,Hatchback,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift,2007,Diesel,"102,000 km",240000
381,WagonR1.0LXiCNG,July,First,Grey,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,WithHeater,Front,,,,,,,,Yes,Yes,,,,,Central,,No,No,Yes,Yes,Yes,,Maruti Suzuki,Wagon R 1.0,2014,CNG & Hybrids,"69,000 km",285000
382,SwiftDzireVDI,April,First,White,Sedans,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift Dzire,2014.0,Diesel,"94,410 km",490000
383,SwiftDzireVXIAutomatic,April,First,Silver,Sedans,Automatic,NoInsurance,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,,Power,,,,Yes,Yes,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2012,Petrol,"56,000 km",395000
384,SwiftVDi,March,First,Red,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift,2009,Diesel,"110,000 km",300000
385,WagonRLXBS-III,April,Second,Silver,Hatchback,Manual,NoInsurance,Used,MH,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,,,,,,No,No,Yes,Yes,,Yes,Maruti Suzuki,Wagon R,2004,Petrol,"110,000 km",85000
386,SwiftVDi,July,First,White,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,Yes,AutomaticClimateControl,Front&rear,,Yes,,Manual,,,,Yes,Yes,,,,,Central,None,,,,,,,Maruti Suzuki,Swift,2009,Diesel,"60,180 km",315000
387,ErtigaVxi,March,First,Blue,MUV,Manual,Comprehensive,Used,MH,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,,,,Yes,Yes,,,,,RemoteControlledCentral,,No,No,Yes,Yes,Yes,,Maruti Suzuki,Ertiga,2013,Petrol,"64,000 km",480000
388,WagonR1.0LXi,April,Second,Silver,Hatchback,Manual,ThirdParty,New,MH,Yes,,,,,AutomaticClimateControl,Front,,Yes,,,Yes,Yes,,Yes,Yes,,,Yes,Yes,RemoteControlledCentral,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2015,Petrol,"65,651 km",289000
389,WagonRLXI,May,First,Grey,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,Front,,,,Manual,,,,Yes,Yes,,,,,,None,,,,,,,Maruti Suzuki,Wagon R,2014,CNG & Hybrids,"76,936 km",325000
390,WagonR1.0LXi,April,Second,Silver,Hatchback,Manual,ThirdParty,New,MH,Yes,,,,,AutomaticClimateControl,Front,,Yes,,,Yes,Yes,,Yes,Yes,,,Yes,Yes,RemoteControlledCentral,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2015,Petrol,"65,651 km",289000
391,WagonR1.0VXi,,First,,,Manual,,,MH,Yes,,,Yes,,WithHeater,Front&rear,,,,,,Yes,,Yes,,,,,Yes,RemoteControlledCentral,,,,,,,,Maruti Suzuki,Wagon R 1.0,2011.0,Petrol,"63,200 km",230000
392,SwiftVDi,August,Second,Red,Hatchback,Manual,NoInsurance,Used,MH,Yes,Yes,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2013,Diesel,"71,000 km",384999
393,SwiftDzireZXI,November,Second,White,Luxury,Manual,NoInsurance,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift Dzire,2009,Petrol,"71,000 km",199000
394,ErtigaVxiCNG,June,First,White,SUV,Manual,NoInsurance,Used,MH,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,,Yes,,Yes,Yes,,Yes,,,RemoteControlledCentral,None,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2014,CNG & Hybrids,"125,780 km",565000
395,SwiftDzireVDI,November,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2014,Diesel,"56,000 km",550000
396,WagonR1.0LXiCNG,November,Third,Grey,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,,Front,,,,,,,,Yes,Yes,,,,Yes,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2012,CNG & Hybrids,"62,321 km",245000
397,WagonRVXiBS-III,April,Second,White,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,Front,,Yes,,,Yes,Yes,,Yes,Yes,,,,,RemoteControlledCentral,None,No,No,Yes,Yes,,Yes,Maruti Suzuki,Wagon R,2009,Petrol,"75,000 km",155000
398,WagonRVXiBS-III,April,First,White,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,No,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,,,,,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2015,Petrol,"50,000 km",351000
399,VXIAutomatic,December,First,Blue,Sedans,Manual,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Wagon R,2019,Petrol,1 km,661353
400,SwiftDzireZXi1.2BS-IV,December,First,White,Sedans,Manual,NoInsurance,Used,MH,Yes,,,,,,Front&rear,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2014.0,Petrol,"36,000 km",495000
401,WagonR1.0VXi,September,First,,,,Comprehensive,,,,,,,,,Front&rear,,,,,,,,,,,,,,RemoteControlledCentral,,No,No,Yes,,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2014.0,Petrol,"52,000 km",300000
402,SwiftVDiBS-IV,April,First,White,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift,2015,Diesel,"73,000 km",540000
403,WagonR1.0LXiCNG,February,First,Brown,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,WithHeater,,,Yes,,,,,,,,,,,Yes,Central,,No,No,Yes,Yes,Yes,,Maruti Suzuki,Wagon R 1.0,2013,CNG & Hybrids,"94,000 km",265000
404,SwiftVXi,May,First,Grey,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2015,Petrol,"35,000 km",430000
405,SwiftVXi,October,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift,2011,Petrol,"90,000 km",320000
406,SwiftVXi,,First,,,Manual,Comprehensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift,2010,Petrol,"43,500 km",255000
407,SwiftVXi,June,First,Grey,Hatchback,Manual,Comprehensive,New,MH,Yes,,,,,,Front&rear,,Yes,,,Yes,Yes,,Yes,Yes,,,Yes,Yes,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2014,Petrol,"11,000 km",420000
408,WagonR1.0LXiCNG,September,First,Brown,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,Yes,Yes,WithHeater,Front,,,,Power,Yes,Yes,,Yes,Yes,,,,Yes,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2014,CNG & Hybrids,"53,000 km",299000
409,ErtigaVxiCNG,May,First,White,SUV,Manual,ThirdParty,Used,MH,,,,,,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2016,CNG & Hybrids,"22,000 km",685000
410,WagonRDuoLXLPG,May,First,Silver,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,,Yes,Maruti Suzuki,Wagon R,2004,LPG,"120,000 km",90000
411,ZDIPlus ,December,First,Red,Hatchback,Manual,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2019,Diesel,1 km,1372428
412,WagonR1.0VXi,October,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,,Front&rear,,Yes,,,,,,,,,,,,,,,,Yes,,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2012,Petrol,"54,000 km",285000
413,WagonR1.0VXi,April,First,White,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2016,Petrol,"22,000 km",390000
414,,,First,,,Manual,,,MH,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2011,Petrol,"63,256 km",225000
415,SwiftZXi,May,First,Red,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2014,Petrol,"39,000 km",410000
416,SwiftDzireVXi1.2BS-IV,March,Second,White,Sedans,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift Dzire,2011,Petrol,"66,000 km",270000
417,SHVSZDIPlus,September,First,White,SUV,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2018,Diesel,"39,200 km",975111
418,WagonRLXBS-III,November,First,White,Hatchback,Manual,ThirdParty,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Wagon R,2009,Petrol,"52,000 km",190000
419,SwiftVDi,May,First,Silver,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012.0,Diesel,"50,990 km",450000
420,SwiftVXi,May,First,Grey,Hatchback,Manual,ZeroDep,Used,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2016.0,Petrol,"29,000 km",495000
421,WagonrRVXI+AMT(Automatic),April,First,White,Hatchback,Automatic,NoInsurance,New,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2017.0,Petrol,"22,000 km",435000
422,ErtigaVxiCNG,May,First,White,SUV,Manual,Comprehensive,Used,MH,,,,,,,,,,,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2016,CNG & Hybrids,"22,000 km",695000
423,SwiftVXi,February,First,Silver,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,Yes,,AutomaticClimateControl,Front&rear,,Yes,,,,,,,Yes,,,,,,,No,No,Yes,,,Yes,Maruti Suzuki,Swift,2006,Petrol,"64,000 km",165000
424,SwiftVXi,July,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Petrol,"18,000 km",370000
425,SwiftVDi,April,First,White,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,Front&rear,,Yes,,Power,,,,Yes,Yes,,,,,RemoteControlledCentral,,,,,,,,Maruti Suzuki,Swift,2016,Diesel,"47,000 km",549000
426,SwiftDzireVXi1.2BS-IV,,First,,,Manual,Comprehensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift Dzire,2012,Petrol,"39,000 km",319000
427,ErtigaVDi,July,First,Grey,SUV,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,,,Yes,Yes,Maruti Suzuki,Ertiga,2017,Diesel,"41,700 km",809000
428,WagonRLXI,May,First,Silver,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,WithHeater,,,,,,,,,Yes,Yes,,,,,Central,,No,No,Yes,Yes,,Yes,Maruti Suzuki,Wagon R,2006,Petrol,"104,000 km",95000
429,SwiftVXi,June,First,Silver,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,WithHeater,Front&rear,,Yes,,,,,,Yes,Yes,,,,,Central,,No,No,Yes,Yes,,,Maruti Suzuki,Swift,2006,Petrol,"67,000 km",175000
430,SwiftDzireLXI,,First,White,Sedans,Manual,Comprehensive,Used,MH,Yes,,,,,,,,,,,,,,Yes,Yes,,,,,Central,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2012,Petrol,"62,000 km",351000
431,MarutiSwiftVDIAMT(Automatic),May,First,Red,Hatchback,Automatic,NoInsurance,New,MH,Yes,,,Yes,,AutomaticClimateControl,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Central,1airbag,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2018,Diesel,"43,000 km",751000
432,,January,,White,,,Comprehensive,,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift,2016,Petrol,"20,193 km",498000
433,WagonRVXiBS-III,April,Second,White,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,Front,,Yes,,,Yes,Yes,,Yes,Yes,,,,,RemoteControlledCentral,None,No,No,Yes,Yes,,Yes,Maruti Suzuki,Wagon R,2009,Petrol,"75,000 km",155000
434,SwiftDzireLDI,January,Second,Champagne,Sedans,Manual,ThirdParty,Used,MH,Yes,,,,,WithHeater,Front&rear,,,,,,,,,Yes,,,,,Central,,,,,,,,Maruti Suzuki,Swift Dzire,2014,Diesel,"90,000 km",475000
435,WagonR1.0LXiCNG,December,First,Grey,Hatchback,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Wagon R 1.0,2015.0,CNG & Hybrids,"45,600 km",330000
436,SwiftDzireLDI,December,First,White,Hatchback,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2013,Diesel,"69,000 km",480000
437,SwiftDzireVXI,June,First,Green,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,,Power,,,,Yes,Yes,,Yes,Yes,Yes,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,,Maruti Suzuki,Swift Dzire,2015,Petrol,"70,000 km",450000
438,WagonR1.0VXi,May,First,Silver,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2014,Petrol,"55,000 km",340000
439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift Dzire,2015,Petrol,"35,000 km",450000
440,WagonRVXiBS-III,,First,,,Manual,Comprehensive,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,,Maruti Suzuki,Wagon R,2014,Petrol,"62,456 km",327000
441,ErtigaVxi,April,Second,White,MUV,Manual,NoInsurance,Used,MH,Yes,,,,,,,,,,,,Yes,,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015,Petrol,"55,000 km",542000
442,WagonRLXiBS-III,December,First,Grey,Hatchback,Manual,NoInsurance,,MH,Yes,,,Yes,,WithHeater,Front,,,,,Yes,Yes,,,,,,,,RemoteControlledCentral,,,,Yes,,Yes,Yes,Maruti Suzuki,Wagon R,2015,CNG & Hybrids,"45,600 km",325000
443,ErtigaZXi,June,First,White,SUV,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2013,Petrol,"51,041 km",550000
444,WagonR1.0LXiCNG,March,Second,Silver,Hatchback,Manual,Comprehensive,New,MH,Yes,,,,,,Front,,,,,,,,,,,,,,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2012,CNG & Hybrids,"91,000 km",260000
445,ErtigaVDi,March,First,Grey,SUV,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2013,Diesel,"22,805 km",625000
446,WagonR1.0VXi,October,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2012,Petrol,"38,261 km",265000
447,ErtigaVDi,,First,Gold,SUV,Manual,Comprehensive,Used,MH,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,,,,,,Yes,Yes,Yes,Yes,RemoteControlledCentral,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015,Diesel,"61,929 km",685000
448,SwiftDzireVXi1.2BS-IV,March,First,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2010,Petrol,"56,951 km",265000
449,SwiftDzireZDI,October,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Manual,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2014,Diesel,"56,000 km",545000
450,WagonR1.0LXiCNG,July,First,Grey,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2012,Petrol,"65,914 km",265000
451,WagonR1.0LXiCNG,July,First,Grey,Hatchback,Manual,NoInsurance,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2012,Petrol,"65,914 km",265000
452,WagonR1.0VXi,June,First,Grey,Hatchback,Automatic,Comprehensive,Used,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,Yes,,Manual,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2017,Petrol,"8,297 km",435000
453,WagonR1.0LXiCNG,April,First,Gold,Hatchback,Manual,Comprehensive,Used,MH,,,,,,AutomaticClimateControl,Front&rear,,,,Manual,,,,Yes,Yes,,Yes,,Yes,RemoteControlledCentral,1airbag,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2015,Petrol,"18,000 km",375000
454,ErtigaVDi,,First,Gold,SUV,Manual,Comprehensive,Used,MH,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,,,,,,Yes,Yes,Yes,Yes,RemoteControlledCentral,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015,Diesel,"61,929 km",685000
455,SwiftDzireVXi1.2BS-IV,March,First,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2010,Petrol,"56,951 km",265000
456,ErtigaVDi,March,First,Grey,SUV,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2013,Diesel,"22,805 km",625000
457,SwiftVDi,February,First,White,Sedans,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Diesel,"55,000 km",385000
458,ErtigaVxiABS,November,First,Grey,SUV,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2013,Petrol,"29,000 km",495000
459,SwiftVXi,September,Third,White,Hatchback,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift,2010,CNG & Hybrids,"83,799 km",185000
460,SwiftDzireVXi1.2BS-IV,September,Second,Black,Sedans,Manual,Comprehensive,New,MH,Yes,,,,Yes,AutomaticClimateControl,Front&rear,Yes,Yes,Yes,Manual,Yes,Yes,,Yes,Yes,,,,,RemoteControlledCentral,None,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2009,CNG & Hybrids,"69,000 km",255000
461,ErtigaVxiABS,November,First,Grey,SUV,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2013,Petrol,"29,000 km",495000
462,SwiftDzireVXI,March,First,Grey,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,,,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,Yes,,,,RemoteControlledCentral,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2013,CNG & Hybrids,"97,000 km",390000
463,SwiftDzireVXI,January,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift Dzire,2013,Petrol,"41,173 km",365000
464,WagonRLXI,August,First,White,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R,2013,CNG & Hybrids,"48,000 km",285000
465,SwiftVDiBS-IV,August,Second,Grey,Hatchback,Manual,ThirdParty,Used,UP,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,Yes,Yes,,Yes,Yes,,,,,Central,,,,Yes,Yes,,Yes,Maruti Suzuki,Swift,2013,Diesel,"72,000 km",335000
466,ErtigaVxiCNG,July,First,Blue,SUV,Manual,Comprehensive,Used,MH,Yes,,Yes,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2014,CNG & Hybrids,"39,027 km",595000
