,Variant,Make_Month,No_of_Owners,Color,Type_of_Car,Transmission,Insurance_Type,Condition,Registration_Place,Power_steering,Cruise_Control,Navigation_System,Adjustable_Steering,Automatic_Boot,Air_Conditioning,Power_Windows,Sunroof,Fog_Lamps,Alloy_Wheels,Adjustable_External_Mirror,Display_Screen,Bluetooth,AMFM_adio,USB_Compatibility,Aux_Compatibility,ABS,Anti_Theft_Device,Rear_Parking_Camera,Parking_Sensors,Lock_System,Number_of_Airbags,Flood_Affected,Accidental,Registration_Transfer,Insurance,Finance,Exchange,Brand,Model,Year,Fuel,KM_driven,Price
302,SwiftVXi,July,First,Blue,Hatchback,Manual,Comprehensive,Used,MH,Yes,,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Petrol,"18,000 km",370000
303,ZDIPlus ,December,First,Red,Hatchback,Manual,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2019,Diesel,1 km,1372428
304,SwiftVDi,February,First,White,Sedans,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift,2012,Diesel,"55,000 km",385000
305,SwiftDzireVDI,November,Second,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2014,Diesel,"56,000 km",550000
306,ErtigaVxiCNG,May,First,Blue,SUV,Manual,Comprehensive,Used,MH,Yes,Yes,Yes,Yes,Yes,AutomaticClimateControl,Front&rear,,Yes,Yes,Power,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2014,CNG & Hybrids,"54,000 km",620000
307,ErtigaVxi,December,First,Red,Hatchback,Automatic,Comprehensive,New,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Ertiga,2019,Diesel,1 km,1095033
308,WagonR1.0LXiCNG,February,First,Blue,Hatchback,Manual,Comprehensive,New,MH,Yes,,,,,AutomaticClimateControl,Front&rear,,Yes,,Power,,Yes,,Yes,Yes,Yes,,Yes,Yes,RemoteControlledCentral,1airbag,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2020,CNG & Hybrids,45 km,519000
309,ErtigaVDi,July,First,Grey,SUV,Manual,NoInsurance,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,,,Yes,Yes,Maruti Suzuki,Ertiga,2017,Diesel,"41,700 km",809000
310,WagonR1.0LXiCNG,October,First,Red,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2013,CNG & Hybrids,"68,653 km",280000
311,SwiftDzireZDIAMT(Automatic)(Automatic),June,First,,,Automatic,ZeroDep,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,Maruti Suzuki,Swift Dzire,2017.0,Diesel,"54,000 km",740000
312,WagonR1.0LXiCNG,August,First,Grey,Hatchback,Manual,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,Maruti Suzuki,Wagon R 1.0,2013,CNG & Hybrids,"55,000 km",265000
313,SwiftDZireAutomatic,April,First,White,Sedans,Automatic,Comprehensive,Used,MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maruti Suzuki,Swift Dzire,2016,Petrol,"22,500 km",550000
314,WagonR1.0LXiCNG,October,First,Red,Hatchback,Manual,Comprehensive,Used,MH,Yes,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Wagon R 1.0,2013,CNG & Hybrids,"68,653 km",280000
315,SwiftDzireVXi1.2BS-IV,March,First,Silver,Sedans,Manual,Comprehensive,Used,MH,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Swift Dzire,2010,Petrol,"56,951 km",265000
316,ErtigaVDi,,First,Gold,SUV,Manual,Comprehensive,Used,MH,Yes,,,Yes,,WithHeater,Front&rear,,Yes,,Power,,,,,,Yes,Yes,Yes,Yes,RemoteControlledCentral,,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015,Diesel,"61,929 km",685000
317,ErtigaVxiCNG,November,First,White,SUV,Manual,Comprehensive,Used,MH,Yes,,,Yes,Yes,WithHeater,Front&rear,,,,Power,,,,Yes,Yes,Yes,Yes,Yes,Yes,RemoteControlledCentral,2airbags,No,No,Yes,Yes,Yes,Yes,Maruti Suzuki,Ertiga,2015,CNG & Hybrids,"38,000 km",693999
